
Name,Date,Price,ageMin,ageMax,Categories,Venue,Description,Status
Electronic Music: Advanced (12-9),07/01/2019,209,11,14,Art,University of Portland,"Graduate beyond Garageband Loops and move into professional music production software. Learn music theory for producers, synthesis, sampling automation, songwriting and more while working in Ableton Live. Write and record a brand new song of your own.",Confirmed - Final
Music & Audio for Filmmaking (8-10),07/01/2019,1912,12,16,Art,University of Portland,"Sound and music are vital elements of a film's impact. Use GarageBand to add new twists to your favorite films with overlays of different music clips. Learn about the secret art of sound design, Foley, voice acting and more.",Confirmed - Final
Electronic Music (12-9),07/01/2019,209,11,14,Art,University of Portland,"Compose music with GarageBand, a powerful and flexible program that lets you create any music you can imagine. Experiment with sampling, synthesizers, mixing, equalizing and more. Learn music theory and the history of electronic music and hip-hop. Release your musical creation online.",Confirmed - Final
Extended Camp,07/01/2019,120,12,14,Art,University of Portland,After care,Confirmed - Final
Stage Makeup: Acting & Special Effects (6-8),07/01/2019,3612,12,14,Art,University of Portland,"Bring your favorite characters alive for the stage. This class will use theatre, acting, cosplay, improvisation, stage combat and sound to create characters and illusions while learning the basics of applying theatrical makeup.",Confirmed - Final
The Art of Nature Camp: Drawing & Photography (11-6),08/10/2019,3312,10,12,Art,University of Portland,"Spend a week capturing the beauty of nature--flowers, trees, rivers and more--on paper through drawing and photography. Experiment with various media to apply drawing fundamentals such as line, shape, and color. Explore photography basics including composition, perspective and light in this hands-on class!",Confirmed - Final
Create an Illustrated Storybook (2-3),08/10/2019,1612,12,14,Art,Saturday Academy - Beaverton,"Learn the basic elements of story writing: character, dialogue, setting, plot and action. Write your story and use oil, pastel, watercolor or colored pencil to create illustrations to accompany your work. Create a one-of-a-kind storybook to share with friends and family.",Confirmed - Final
"Stories, Poetry and Social Justice",08/10/2019,1612,12,14,Art,Portland Community College - Southeast Campus,"Take a journey with Ed Edmo - a Shoshone-Bannock poet, playwright, performer, traditional storyteller, tour guide and lecturer ? through stories and photos of his life growing up in Celilo Falls on the Columbia River before it was flooded by the Dalles Dam. Explore your own stories and the intersections between environment, culture and social justice.",Confirmed - Final
Comic Book & Graphic Novel (6-8),08/10/2019,179,12,14,Art,Portland Community College - Southeast Campus,"Use both writing and drawing skills to tell stories in your very own graphic novel. Learn techniques of professional cartoonists from narrative development to layout, penciling, inking, coloring, and lettering a final product. Communicate effectively in words and art.",Confirmed - Final
Heroic Improv Camp (11-12),08/10/2019,3312,11,12,Art,Portland Community College - Southeast Campus,"Use your ideas about heroes and making the world a better place as inspiration for a show! Utilize writing, drawing, improvisation and movement to imagine and tell tales that span every conceivable genre. Explore theatrical improv techniques to translate action into a narrative and performance writing.",Confirmed - Final
Acting for Young People (11-6),08/10/2019,1612,11,6,Art,MET (Muslim Educational Trust),"Develop skills through theater games and improvisation. Build your confidence and increase concentration. Gain experience with movement, staging, voice and characterization in a supportive atmosphere. Explore your hidden talents.",Confirmed - Final
Extended Camp,08/10/2019,120,12,15,Art,MET (Muslim Educational Trust),TBD,Confirmed - Final
Acting: Fractured Fairy Tales (11-12),08/10/2019,1612,15,16,Art,MET (Muslim Educational Trust),"Take a modern twist on a classic fairy tale, add fun improvisation games and a pinch of comedy and you?ll notice improved communication, confidence and concentration. Practice your skills in scenes from ?fractured? fairy tales like the True Story of the Three Little Pigs. Build your hidden talents.",Confirmed - Final
Comic Book Camp (6-8),05/20/2019,31112,12,14,Art,MET (Muslim Educational Trust),"Use your ideas about heroes and making the world a better place as inspiration for your own comic! Utilize both writing and drawing skills to tell unique, interesting, and personal stories in your very own graphic novel. Comic storytelling combines both writing and drawing to tell tales that span every conceivable genre. Employ the techniques of professional cartoonists to tell own your story, from narrative development to layout, penciling, inking, coloring, and lettering a final product. You will improve your ability to tell a clear story by designing pages that engage readers and communicate effectively. Incorporate math into your project through 2D and 3D perspectives.",Confirmed - Final
Extended Camp,05/20/2019,120,7,9,Art,Portland Community College - Rock Creek,TBD,Confirmed - Final
The Art of Animals Camp: Drawing & Photography (11 - 6),05/20/2019,3312,10,12,Art,Portland Community College - Rock Creek,"Spend a week capturing the nature of animals--including llamas, horses, and rabbits--on paper through drawing and photography. Study animal anatomy and experiment with various media to apply drawing fundamentals such as line, shape, and color. Explore photography basics including composition, perspective and light in this hands-on, on-the-farm class!",Confirmed - Final
Phonetics and Dialects for the Actor,05/20/2019,1812,10,12,Art,Pacific University (Forest Grove),Build a foundation of healthy vocal expression; learn the International Phonetic Alphabet as a common way to communicate specific sounds across all spoken languages; and learn and practice at least three stage dialects. Camp will culminate with performances of scenes and monologues in dialects.,Confirmed - Final
Digital Videomaking,05/20/2019,3612,12,16,Art,Pacific University (Forest Grove),"Spend the week telling a story in film! Learn the language of film buy writing, filming and editing a short film in small groups. Participants will have access to cameras, lighting and editing equipment.",Confirmed - Final
Animation Academy (7-12),05/20/2019,3712,12,16,Digital Art,Portland State University,"Harness the power of Adobe Animate®. Taught by a professional animator, students will learn both the technical aspects of the software, as well as the core fundamentals of animation to create their own short films just like the pros!",Confirmed - Final
Photography: Exploring Portland (6-8),05/20/2019,1812,12,14,Digital Art,Portland State University,"Learn camera basics, composition, perspective, and light while shooting local attractions. Collaborate with classmates to choose the best photos for digital presentation or Instagram. Learn professional techniques for capturing an image and transforming it into a powerful photograph.",Confirmed - Final
Digital Design: Textiles & More (9-12),05/20/2019,1812,14,16,Digital Art,Portland State University,"Explore the possibilities of art licensing and learn how to get your designs on fabric for clothing, homewares, paper products and a wide variety of other consumer products! Learn the tools and techniques to turn your creativity into life and walk away inspired to start designing!",Confirmed - Final
Digital Art & Graphic Design (6-8),05/20/2019,1812,12,14,Digital Art,University of Portland,"Computer drawing tablets act as an artist?s paintbrush to control the computer?s drawing and painting tools. Create art that reflects your own sense of humor and style. Combine high-tech drawing and design tools with painting, coloring and collage to create individual works of art.",Confirmed - Final
Stop Motion Animation (11-12),05/20/2019,1812,15,16,Digital Art,University of Portland,"Discover the unique storytelling possibilities of the grand-daddy of animation: stop motion! Explore different techniques from pixelation to clay animation to cut-out, and choose one to create your animated music video! Apply tools like animation and lighting to create a story from scratch.",Confirmed - Final
Stop Motion Animation (6-8),05/20/2019,1812,12,14,Digital Art,University of Portland,"Discover the unique storytelling possibilities of the grand-daddy of animation: stop motion! Explore different techniques from pixelation to clay animation to cut-out, and choose one to create your animated music video! From learning the basics of animation and lighting to refining your flow, discover the tools needed to create a finished animation from scratch. Follow what inspires you, share ideas and go all out in this professional hands-on introduction to stop-motion animation",Confirmed - Final
Stop Motion: Get Wired! (12-8),05/20/2019,1912,12,14,Digital Art,Saturday Academy - Beaverton,"Create your own fully movable wire puppet film star similar to Coraline! Build hands, feet and a head of painted clay. Design and create clothing, hair and skin or fur. Your finished character will stand on its own as a star in your own stop-motion animated film.",Confirmed - Final
Stop Motion Animation (11-12),05/20/2019,1812,12,14,Digital Art,Saturday Academy - Beaverton,"Discover the unique storytelling possibilities of the grand-daddy of animation: stop motion! Explore different techniques from pixelation to clay animation to cut-out, and choose one to create your animated music video! Apply tools like animation and lighting to create a story from scratch.",Confirmed - Final
Stop Motion Animation (11-12),05/20/2019,1812,15,16,Digital Art,Saturday Academy - Beaverton,"Discover the unique storytelling possibilities of the grand-daddy of animation: stop motion! Explore different techniques from pixelation to clay animation to cut-out, and choose one to create your animated music video! Apply tools like animation and lighting to create a story from scratch.",Confirmed - Final
Digital Art & Graphic Design (6-8),05/20/2019,1812,12,14,Digital Art,German International School,"Computer drawing tablets act as an artist?s paintbrush to control the computer?s drawing and painting tools. Create art that reflects your own sense of humor and style. Combine high-tech drawing and design tools with painting, coloring and collage to create individual works of art.",Confirmed - Final
Animation Academy (7-12),05/20/2019,3712,13,16,Digital Art,MET (Muslim Educational Trust),"Harness the power of Adobe Animate®. Taught by a professional animator, students will learn both the technical aspects of the software, as well as the core fundamentals of animation to create their own short films just like the pros!",Confirmed - Final
Digital Art & Graphic Design (6-8),05/20/2019,1812,12,14,Digital Art,Portland Community College - Rock Creek,"Computer drawing tablets act as an artist?s paintbrush to control the computer?s drawing and painting tools. Create art that reflects your own sense of humor and style. Combine high-tech drawing and design tools with painting, coloring and collage to create individual works of art.",Confirmed - Final
Graphic Design: Publication Workshop,05/20/2019,3612,14,16,Digital Art,Pacific University (Forest Grove),"From Thomas Paine?s ?Common Sense? to the diverse range of topics today, independently published zines have a rich history in American culture. Learn the basics of graphic design while creating and circulating your own zine.",Confirmed - Final
Dreaming in VR: Immersive Technology,05/20/2019,3612,12,14,Digital Art,Open Signal,"Ever wanted to design a video game, create a world in virtual reality or animate 3D models? Learn the fundamentals of Unity (game engine software), basics of 3D modeling and animation, and how to create interactivity through intro level scripting.",Confirmed - Final
Producing Podcasts: Sound of Stories (9-12),05/20/2019,199,14,16,Digital Art,Portland State University,"Sound Up! Learn the fundamentals of podcasting as an independent producer: story ideation, writing for the ear, using your authentic voice, connecting with your audience, and pitching a podcast.",Confirmed - Final
Academic Summit,05/20/2019,12119,12,14,Educational,University of Portland,"Explore the challenges of the 21st century and draw on creative resolutions from science, engineering, technology, humanities and art. Meet experts on the cutting edge of gene-editing, energy storage, social justice, our place in space and the microscopic world. Simulate a Vulcan mind meld and make connections, identify challenges, ask questions and seek solutions through a week of hands-on learning.",Confirmed - Final
Curiosity Challenge (11-12),05/20/2019,12119,14,16,Educational,University of Portland,"Trace curious connections between science, engineering, technology and art and how creative new ideas take form. Follow your curiosity through botanical mysteries, famous characters, physics of energy storage and the tiny, microscopic world.",Confirmed - Final
"The Art of Math: Escher, Fractals & the Golden Ratio (12-8)",05/20/2019,1712,12,14,Educational,University of Portland,"You don't need to be a math genius to use its power to advance your art. Turn mathematical patterns into mesmerizing line designs. Create op-art using circles, arcs and parabolic curves. Apply the golden ratio to draw perfectly proportioned works of art.",Confirmed - Final
Character Drawing: Basic Geometry (12-8),05/20/2019,1812,12,14,Educational,University of Portland,"Learn elements of geometric drafting such as shape and scale. Build a face, body and accessories from the ground up. Explore the tools used by professional studios to create the characters in your favorite animated shows.",Confirmed - Final
The Art of Math: From Fibonacci to 3D (2-11),05/20/2019,1712,7,15,Educational,University of Portland,Explore and design tessellations in the style of MC Escher and create captivating spiral art using the Fibonacci series. Make a mesmerizing mandala using the properties of symmetry and paint like Kandinsky using a compass to create circle art.,Confirmed - Final
Character Drawing: Basic Geometry (12-8),05/20/2019,1812,12,14,Educational,Portland Community College - Southeast Campus,"Learn elements of geometric drafting such as shape and scale. Build a face, body and accessories from the ground up. Explore the tools used by professional studios to create the characters in your favorite animated shows.",Confirmed - Final
Origami: Exploring Sonobe Variations (11-12),05/20/2019,169,15,16,Educational,Portland Community College - Southeast Campus,,Confirmed - Final
Origami: Exploring Sonobe Variations (6-8),05/20/2019,169,12,14,Educational,MET (Muslim Educational Trust),,Confirmed - Final
Documentary Lens on River Cleanup,05/20/2019,11312,13,15,Art,University of Portland,"Did you know the lower Willamette River is scheduled for a 13 year, $1 billion river clean-up? Have you heard of the pollutants PCBs, PAHs, dioxins/furans and DDT? Wade into river science and make a documentary film about current cleanup of the Willamette River. Interview the people who work to balance water use between people, industry and wildlife.",Confirmed - Final
Documentary Lens on River Cleanup,05/20/2019,11312,12,15,Art,University of Portland,"Did you know the lower Willamette River is scheduled for a 13 year, $1 billion river clean-up? Have you heard of the pollutants PCBs, PAHs, dioxins/furans and DDT? Wade into river science and make a documentary film about current cleanup of the Willamette River. Interview the people who work to balance water use between people, industry and wildlife.",Confirmed - Final
The Art & Science of Birds (2-12),05/20/2019,1712,7,16,Performance,Portland Community College - Rock Creek,"Why do birds have different types of beaks, claws, songs or nests? How do they interact with their unique environment? Examine the anatomy, habitat and physical features of birds from falcons to hummingbirds and beyond. Log your observations into journals, drawings and a 3D sculpture.",Confirmed - Final
Slam Poetry (9-12),05/20/2019,179,14,16,Performance,Portland State University,"Dig deep and find ways to translate your identity and experiences into poetry meant to be performed out loud. Explore what makes a poetry slam so electric?writing poems, workshopping to make poems fiercer and braver, and performing with style. Opt to perform for family and friends!",Confirmed - Final
Slam Poetry (6-8),05/20/2019,179,12,14,Performance,Portland State University,"Dig deep and find ways to translate your identity and experiences into poetry that is designed to be performed out loud. Explore what makes a poetry slam such an electric format--writing poems, workshopping with classmates to make poems fiercer and braver, and performing with style in front of others. Opt to perform your piece in front of family and friends!",Confirmed - Final
The Art of the Short Play (10 - 12),05/20/2019,1812,14,16,Performance,Pacific University (Forest Grove),"This camp is recommended for aspiring playwrights. For the first three days, we will examine and discuss some distinctive 10-minute plays, then proceed to our own writing, informed by the styles and structures of those we have read. The final days of class will be dedicated to active revision and work-shopping of our new plays. Each student should end the week with a strong, polished new piece.",Confirmed - Final
SAT Prep: Young Women's Intensive (9-12),05/20/2019,11119,14,16,Educational,St. Mary?s Academy,"Learn powerful test-taking techniques and strategies for improving your score. High scores on the SAT can help with admittance to the college of your choice and increase the size of potential scholarships. This class will prepare you for the three sections of the SAT: math, critical reading and writing. Find more information online about class content.",Confirmed - Final
PSAT Prep (8-11),05/20/2019,229,13,15,Educational,Portland State University,Maximize your scoring potential by becoming familiar with the PSAT (Preliminary Scholastic Aptitude Test). High scores can win you scholarships and qualify you for the National Merit Scholar Program. Learn strategies for general test taking as well as for approaching specific types of questions found in both the math and reading parts of the test. Take practice tests and review your answers in a team environment.,Confirmed - Final
ACT Prep (9-12),05/20/2019,3119,14,16,Educational,Portland State University,"The ACT is a widely accepted college entrance exam that closely reflects what students have studied through the end of junior year of high school. It is often used to determine scholarship awards. This class will prepare you for the math, English, reading and writing portions of the test.",Confirmed - Final
SAT Prep (9-12),05/20/2019,11119,14,16,Educational,Portland State University,"Learn powerful test-taking techniques and strategies for improving your score. High scores on the SAT can help with admittance to the college of your choice and increase the size of potential scholarships. Get ready for the three sections of the SAT: math, critical reading and writing.",Confirmed - Final
Organization Toolkit (9-12),05/20/2019,1212,14,16,Educational,Portland State University,"Decrease stress and increase productivity with useful techniques you can easily incorporate into your busy life. Gain skills for time and project management, goal setting, organization and calendaring. Learn how to complete the must-do?s and create space for the want-to-do?s.",Confirmed - Final
Your College Coach (11-12),05/20/2019,189,15,16,Educational,Portland State University,"Get the inside scoop before you apply, from choosing the right school for you, to application preparation steps (tests, essays and more), to the applications themselves--even creating a plan for funding college. Get useful materials such as application timelines, essay writing tips, scholarship resources and more! Let?s go to college!",Confirmed - Final
SAT: Math Help (9-12),05/20/2019,2312,14,16,Educational,Portland State University,"Focus on the math concepts that are the basis for the problems in the SAT test. Review the types of problems you will encounter in the SAT math section: algebra, problem solving and data analysis, advanced math using equations, and geometry and trigonometry.",Confirmed - Final
Study Skills (6-8),05/20/2019,1812,12,14,Educational,Portland State University,"Make the best use of your study time. Learn neuroscience-based techniques for studying more effectively, including note-taking, memorization and problem-solving. Explore new ways to approach analytical projects and practice techniques for test-taking and managing stress.",Confirmed - Final
SAT Prep (9-12),05/20/2019,11119,14,16,Educational,Portland State University,"Learn powerful test-taking techniques and strategies for improving your score. High scores on the SAT can help with admittance to the college of your choice and increase the size of potential scholarships. Get ready for the three sections of the SAT: math, critical reading and writing.",Confirmed - Final
Organization Toolkit (6-8),05/20/2019,1212,12,14,Educational,Portland State University,"Decrease stress and increase productivity with useful techniques you can easily incorporate into your busy life. Gain skills for time and project management, goal setting, organization and calendaring. Learn how to complete the must-do?s and create space for the want-to-do?s.",Confirmed - Final
SAT: Evidence-based Reading & Writing (9-12),05/20/2019,2312,14,16,Educational,Portland State University,"Enhance your comprehension, reasoning, revising and editing skills in a variety of content areas. Learn about the optional essay section. Work with test prep professionals to strengthen your use of text complexity, evidence-informed analyses, informational graphics and appropriate word choice. Use practice exams, directed feedback and get individualized support in specified areas.",Confirmed - Final
The Art of Persuasion: Speech & Debate (7-10),05/20/2019,1812,13,15,Educational,Portland State University,"Gain the skills to engage in both formal and informal speech and debate by mastering the art of persuasion. Learn three key concepts that will put you on the winning side of any argument: assertion, reasoning, and evidence.",Confirmed - Final
Speech Easy: Find Your Voice (6-8),05/20/2019,1812,12,15,Educational,Portland State University,"Learn effective speaking techniques in a supportive space. Explore spontaneous speaking skills and longer, crafted pieces. Learn how to speak clearly and to the point, and gain confidence in presenting in front of a group.",Confirmed - Final
Study Skills (9-12),05/20/2019,1812,14,16,Educational,Portland State University,"Make the best use of your study time. Learn neuroscience-based techniques for studying more effectively, including note-taking, memorization and problem-solving. Explore new ways to approach analytical projects and practice techniques for test-taking and managing stress.",Confirmed - Final
Debate & Policy in Action,05/20/2019,1612,14,16,Educational,Northwest Academy,"Research and debate a topic of national importance in depth, such as health care, immigration and international treaties. Learn logic, argumentation, speaking skills, and cross-examination techniques. Gain greater confidence in public speaking and learn about ways to compete in policy debate during the school year!",Confirmed - Final
Tech Skills for Success in Middle School (6-8),05/20/2019,1712,12,15,Educational,Central Catholic High School,"...with skills to learn and communicate in the digital age. Find accurate information and share your learning in both text and slide show format. Get the scoop on citing your sources. Find out about free apps, including fun keyboarding software.",Confirmed - Final
Tech Skills for Success in Elementary School (11-12),05/20/2019,1712,15,16,Educational,Central Catholic High School,"...with skills to both learn and communicate in the digital age. Learn about how to use websites to find pictures, information and create slide shows. Through scavenger hunts and challenges, become familiar with word-processing and presentation tools. Learn about free apps and games to help you develop and polish your keyboarding skills.",Confirmed - Final
Tech Skills for Success in Elementary School (11-12),05/20/2019,1712,15,16,Educational,Saturday Academy - Beaverton,"...with skills to both learn and communicate in the digital age. Learn about how to use websites to find pictures, information and create slide shows. Through scavenger hunts and challenges, become familiar with word-processing and presentation tools. Learn about free apps and games to help you develop and polish your keyboarding skills.",Confirmed - Final
Tech Skills for Success in Middle School (6-8),05/20/2019,1712,12,14,Educational,Saturday Academy - Beaverton,"...with skills to learn and communicate in the digital age. Find accurate information and share your learning in both text and slide show format. Get the scoop on citing your sources. Find out about free apps, including fun keyboarding software.",Confirmed - Final
Writing the College Application Essay (12-12),05/20/2019,189,16,16,Educational,Portland State University,"What makes you unique? It's your voice, your history and your point of view. Learn how these qualities enhance your writing. Read and comment on each other's essays in a writer?s workshop format. Consult individually with your instructor to create a top-notch personal essay.",Confirmed - Final
Writing the College Application Essay (12-12),05/20/2019,189,16,16,Educational,University of Portland,"What makes you unique? It's your voice, your history and your point of view. Learn how these qualities enhance your writing. Read and comment on each other's essays in a writer?s workshop format. Consult individually with your instructor to create a top-notch personal essay.",Confirmed - Final
Programming in Python for Beginners (11-7),05/20/2019,189,15,16,Educational,Central Catholic High School,"Learn Python--a powerful, widely used, and versatile programming language--in this fun, hands-on class for new programmers. Design games like a MadLib, analyze interesting data, and explore mathematical concepts.",Confirmed - Final
App Inventor (6-9),05/20/2019,1912,12,14,Educational,Central Catholic High School,Develop your own Android app with MIT's App Inventor. Create interactive games with pictures and sounds. Learn event-driven and object-oriented programming concepts using this free drag-and-drop web-based program.,Confirmed - Final
Arduino: Creative Programming & Circuit Design (8-12),05/20/2019,2112,14,16,Educational,Central Catholic High School,"Use an Arduino? microcomputer to write computer code to control your own circuit. Discover how computer programming is used to interface with buttons, sensors, RGB LEDs, and displays. Continue exploring your curiosity at home with your Arduino kit.",Confirmed - Final
Geek Chic: Computer Camp for Girls (6-8),05/20/2019,11119,12,14,Educational,St. Mary?s Academy,"What do apps, video games, and robots have in common? Join other girls for a week of hands-on coding. Program an app, create a video game, and build a robot. Will your projects help, inspire and educate? Or will you focus on fun creations? Either way, you?ll enjoy being a chic geek!",Confirmed - Final
Geek Chic: Computer Camp for Girls (11-12),05/20/2019,11119,15,16,Educational,St. Mary?s Academy,"What do apps, video games, and robots have in common? Join other girls for a week of hands-on coding. Program an app, create a video game, and build a robot. Will your projects help, inspire and educate? Or will you focus on fun creations? Either way, you?ll enjoy being a chic geek!",Confirmed - Final
Musical Electronics with Arduino (9-12),05/20/2019,2212,14,16,Educational,Portland State University,"Using an Arduino micro-controller, write creative code to control lights and speakers, triggered by sensors, buttons, or movement. Learn electronic fundamentals and explore how programming interfaces with the world. Create a laser harp, synthesizer, or an electronic ""disco ball."" Your project is yours to keep!",Confirmed - Final
Capture the Flag: Cybersecurity Games (8-12),05/20/2019,1912,14,16,Educational,Portland State University,"Develop and hone your cybersecurity skills in a fun, competitive environment. Secure your machine and hack into others' systems using principles such as networking, reverse engineering, and cryptography. Learn about and prepare for local CTF competitions.",Confirmed - Final
Web Development Camp (6-9),05/20/2019,3912,12,14,Educational,Portland State University,"Dive into designing and coding websites and simple web-based games! Get started in web development with HTML basics. Code your first webpage, then enhance it with CSS. Explore how Javascript, a fundamental web development language, can spice up a website while making quizzes, simple games and more!",Confirmed - Final
CyberAcademy: Hacker Defense Training (9-12),05/20/2019,3712,12,14,Educational,Portland State University,"In our expanding cyber world nothing is secure, only well-protected. Cybersecurity jobs are expected to grow 28% from 2016 to 2026. Dive into the world of cybersecurity as you practice applying concepts centered on HTTP protocol, authentication issues and other security issues. Train to recognize the vulnerability inherent in the web.",Confirmed - Final
Intro to Web Development (7 - 10),05/20/2019,189,13,15,Educational,Portland State University,"Gain confidence in HTML basics. Code a webpage and enhance it with CSS. Explore Bootstrap, an open source toolkit that can take your site to the next level. Use GitHub, a popular code-sharing platform, to deploy your About Me webpage and share it with the world.",Confirmed - Final
Game Making with Javascript (8-12),05/20/2019,1912,14,16,Educational,Portland State University,Program the classic arcade game Pong on day one of this class! Learn code to adapt your first game into other classics such as Brick Breaker and a simple version of Pitfall. Explore code that enables you to craft these games and other web apps.,Confirmed - Final
Intro to Web Development (7 - 10),05/20/2019,189,13,15,Educational,Portland State University,"Gain confidence in HTML basics. Code a webpage and enhance it with CSS. Explore Bootstrap, an open source toolkit that can take your site to the next level. Use GitHub, a popular code-sharing platform, to deploy your About Me webpage and share it with the world.",Confirmed - Final
Game Making with Javascript (8-12),05/20/2019,1912,14,16,Educational,Portland State University,Program the classic arcade game Pong on day one of this class! Learn code to adapt your first game into other classics such as Brick Breaker and a simple version of Pitfall. Explore code that enables you to craft these games and other web apps.,Confirmed - Final
Programming in C++: Level II (8-12),05/20/2019,1912,14,16,Educational,Portland State University,"Add to your C++ skills by exploring examples from local programming contests and selected puzzle projects. Learn about functions, strings, arrays of data and structures. Discover various methods used by computers to sort large quantities of data into order. What can you do in C++?",Confirmed - Final
Arduino: Creative Programming & Circuit Design (8-12),05/20/2019,2112,14,16,Educational,Portland State University,"Use an Arduino? microcomputer to write computer code to control your own circuit. Discover how computer programming is used to interface with buttons, sensors, RGB LEDs, and displays. Continue exploring your curiosity at home with your Arduino kit.",Confirmed - Final
3D Game Creation Camp (8-12),05/20/2019,3912,14,16,Educational,Portland State University,Create an open-world role playing game (RPG) with realistic terrain and lighting. Use Unity3D to create an explorable world with a character controller and interactable objects. Create 3D models and textures in Blender to add realism and intrigue to your gaming world.,Confirmed - Final
GameMaker Studio (6-9),05/20/2019,1912,12,15,Educational,Portland State University,"Design and modify your own 2D PC game in the style of classics like Zelda or Mario. Dive into character controls and level design with GameMaker Studio?s visual and intuitive drag-and-drop system. Control characters, objects and outcomes. Add features to increase the difficulty level.",Confirmed - Final
Programming in C: Level I (6-8),05/20/2019,1912,12,15,Educational,Portland State University,"Write a variety of computer programs. Explore data types, input/output statements, conditional statements, arrays, structures and file manipulation. Get ready for more advanced programming languages like C++, JavaTM and Perl.",Confirmed - Final
Programming in Python® (7-10),05/20/2019,2112,13,15,Educational,Portland State University,"Learn Python, a powerful, widely used, and versatile programming language, in this fun, hands-on class for new programmers. Design games, analyze interesting data, and explore mathematical concepts. Topics include data types and structures, control flow, functions, input and output, object-oriented and event-driven programming.",Confirmed - Final
Game Making Team (7-10),05/20/2019,1912,13,15,Educational,Portland State University,"Develop a game in teams of 2-11 with assigned roles as programmer, artist, or musician. Brainstorm ideas, create characters, backgrounds and animations. Compose songs, sound effects and program a game framework.",Confirmed - Final
Artificial Intelligence: An Introduction (8-10),05/20/2019,2212,6,15,Educational,Portland State University,"Discover how machine learning (ML) works and what effects it could have on humanity in a fascinating hands-on class. Through experiments, explore how artificial intelligence is used to make decisions. Learn how ML?s common uses?self-driving cars, medical diagnostics, facial recognition, and warfare?are changing the world.",Confirmed - Final
CyberSecurity Training (6-8),05/20/2019,189,12,14,Educational,Portland State University,"Develop your security awareness by recognizing phishing and sniffing, and understanding password-cracking techniques. Learn to identify malicious websites and practice security concepts in the form of fun-filled games.",Confirmed - Final
